id,name,price,type
31,item31,31000,1
32,item32,32000,1
33,item33,33000,1
34,item34,34000,1
35,item35,35000,1
36,item36,36000,1
37,item37,37000,1
38,item38,38000,1
39,item39,39000,1
40,item40,40000,1
41,item41,41000,2
42,item42,42000,2
43,item43,43000,2
44,item44,44000,2
45,item45,45000,2
46,item46,46000,2
47,item47,47000,2
48,item48,48000,2
49,item49,49000,2
50,item50,50000,2
51,item51,51000,3
52,item52,52000,3
53,item53,53000,3
54,item54,54000,3
55,item55,55000,3
56,item56,56000,3
57,item57,57000,3
58,item58,58000,3
59,item59,59000,3
60,item60,60000,3
